"","imageName","timeStamp","LocalTime","altitude","ImageWidth","Date","videoLocalTime","minutes","seconds","datetime_utc6","OSD.height..m.","GIMBAL.pitch","nadir"
"51","DJI_0026.MP4_00_00_55_vlc00003.png","0:55","2023-02-15 10:46:17",53.4,1920,"2023-02-15",2023-02-15 10:46:17,0,55,2023-02-15 10:47:12,53.3,-89.9,TRUE
"52","DJI_0026.MP4_00_04_11_vlc00001.png","4:11","2023-04-08 09:36:37",86.1,3840,"2023-04-08",2023-04-08 09:36:37,4,11,2023-04-08 09:40:48,88,-90,TRUE
"53","DJI_0026.MP4_00_04_14_vlc00002.png","4:14","2023-04-08 09:36:37",85.3,3840,"2023-04-08",2023-04-08 09:36:37,4,14,2023-04-08 09:40:51,85.3,-90,TRUE
"54","DJI_0030.MP4_00_00_02_vlc00001.png","0:02","2023-04-08 10:00:34",118.6,3840,"2023-04-08",2023-04-08 10:00:34,0,2,2023-04-08 10:00:36,119.4,-89.9,TRUE
"55","DJI_0030.MP4_00_00_27_vlc00002.png","0:27","2023-04-08 10:00:34",40.8,3840,"2023-04-08",2023-04-08 10:00:34,0,27,2023-04-08 10:01:01,44.6,-77.9,FALSE
"56","DJI_0030.MP4_00_10_59_vlc00001.png","10:59","2023-02-15 15:24:49",46.8,1920,"2023-02-15",2023-02-15 15:24:49,10,59,2023-02-15 15:35:48,45,-68.4,FALSE
"57","DJI_0030.MP4_00_11_02_vlc00002.png","11:02","2023-02-15 15:24:49",47.4,1920,"2023-02-15",2023-02-15 15:24:49,11,2,2023-02-15 15:35:51,46.8,-68.4,FALSE
"58","DJI_0032.MP4_00_05_13_vlc00001.png","5:13","2023-04-08 14:44:21",39.7,3840,"2023-04-08",2023-04-08 14:44:21,5,13,2023-04-08 14:49:34,40.1,-89.9,TRUE
"59","DJI_0032.MP4_00_05_15_vlc00002.png","5:15","2023-04-08 14:44:21",40,3840,"2023-04-08",2023-04-08 14:44:21,5,15,2023-04-08 14:49:36,39.7,-89.9,TRUE
"60","DJI_0032.MP4_00_05_17_vlc00003.png","5:17","2023-04-08 14:44:21",40.2,3840,"2023-04-08",2023-04-08 14:44:21,5,17,2023-04-08 14:49:38,40,-89.9,TRUE
"61","DJI_0032.MP4_00_05_25_vlc00004.png","5:25","2023-04-08 14:44:21",40.3,3840,"2023-04-08",2023-04-08 14:44:21,5,25,2023-04-08 14:49:46,39.4,-89.9,TRUE
"62","DJI_0032.MP4_00_07_51_vlc00001.png","7:51","2023-02-15 16:01:21",43.4,1920,"2023-02-15",2023-02-15 16:01:21,7,51,2023-02-15 16:09:12,43.6,-72.1,FALSE
"63","DJI_0033.MP4_00_07_39_vlc00001.png","7:39","2023-02-15 17:42:09",47.5,1920,"2023-02-15",2023-02-15 17:42:09,7,39,2023-02-15 17:49:48,47.6,-89.9,TRUE
"64","DJI_0033.MP4_00_07_43_vlc00002.png","7:43","2023-02-15 17:42:09",45,1920,"2023-02-15",2023-02-15 17:42:09,7,43,2023-02-15 17:49:52,47.5,-89.9,TRUE
"65","DJI_0033.MP4_00_07_48_vlc00003.png","7:48","2023-02-15 17:42:09",45.4,1920,"2023-02-15",2023-02-15 17:42:09,7,48,2023-02-15 17:49:57,44.9,-89.9,TRUE
"66","DJI_0036.MP4_00_05_04_vlc00001.png","5:04","2023-04-08 14:59:25",31.5,3840,"2023-04-08",2023-04-08 14:59:25,5,4,2023-04-08 15:04:29,30.4,-90,TRUE
"67","DJI_0037.MP4_00_10_16_vlc00001.png","10:16","2023-02-16 09:56:03",45.6,1920,"2023-02-16",2023-02-16 09:56:03,10,16,2023-02-16 10:06:19,46.2,-64.9,FALSE
"68","DJI_0040.MP4_00_00_33_vlc00001.png","0:33","2023-04-08 15:27:08",40.9,3840,"2023-04-08",2023-04-08 15:27:08,0,33,2023-04-08 15:27:41,40,-90,TRUE
"69","DJI_0040.MP4_00_00_35_vlc00002.png","0:35","2023-04-08 15:27:08",40.1,3840,"2023-04-08",2023-04-08 15:27:08,0,35,2023-04-08 15:27:43,40.9,-89.9,TRUE
"70","DJI_0040.MP4_00_00_40_vlc00003.png","0:40","2023-04-08 15:27:08",40.6,3840,"2023-04-08",2023-04-08 15:27:08,0,40,2023-04-08 15:27:48,40.2,-89.9,TRUE
"71","DJI_0040.MP4_00_00_42_vlc00004.png","0:42","2023-04-08 15:27:08",39.5,3840,"2023-04-08",2023-04-08 15:27:08,0,42,2023-04-08 15:27:50,40.6,-89.9,TRUE
"72","DJI_0047.MP4_00_05_14_vlc00002.png","5:14","2023-04-08 16:05:00",50.3,3840,"2023-04-08",2023-04-08 16:05:00,5,14,2023-04-08 16:10:14,51.3,-75.5,FALSE
"73","DJI_0047.MP4_00_05_21_vlc00003.png","5:21","2023-04-08 16:05:00",50.4,3840,"2023-04-08",2023-04-08 16:05:00,5,21,2023-04-08 16:10:21,50.2,-89.9,TRUE
"74","DJI_0047.MP4_00_05_23_vlc00004.png","5:23","2023-04-08 16:05:00",50.6,3840,"2023-04-08",2023-04-08 16:05:00,5,23,2023-04-08 16:10:23,50.4,-89.9,TRUE
