"","ID","mean_length","length_CI_low","length_CI_hi","sd_length","mean_R.HD","sd_R.HD","R.HD_CI_low","R.HD_CI_hi","mean_R.HF","sd_R.HF","R.HF_CI_low","R.HF_CI_hi","mean_fem_prob_hd","sd_fem_prob_hd","prob_hd_CI_low","prob_hd_CI_hi","mean_m_prob_hd","m_prob_hd_CI_low","m_prob_hd_CI_hi","mean_fem_prob_hf","sd_fem_prob_hf","prob_hf_CI_low","prob_hf_CI_hi","mean_m_prob_hf","m_prob_hf_CI_low","m_prob_hf_CI_hi","suckled_ever","suckling_ever","CI_width_HD","CI_width_HF","CI_width_HD_male","CI_width_HF_male","CV_length","CV_HD","CV_HF"
"11","GAL2023_017",9.8099095830123,9.5450193128048,10.0200479819048,0.200797665694515,0.679242735813222,0.00974537415668283,0.665761224436493,0.687489774772318,0.292631410106003,0.00578649148513092,0.285762791548045,0.299694606533239,0.134051471684342,0.146656779279202,0.00416123468730008,0.441450372576929,0.865948528315658,0.558549627423071,0.9958387653127,0.994949273593501,0.00963053596826693,0.96479904359616,0.999997967200204,0.00505072640649885,2.03279979613875e-06,0.0352009564038397,FALSE,FALSE,0.437289137889629,0.0351989236040434,0.437289137889629,0.0351989236040435,2.04688599823829,1.43474102008838,1.977399310291
"12","GAL2023_021",11.3155139730438,11.2677343177088,11.3771896751328,0.0451612858318607,0.64609350711885,0.00434351313506776,0.639794788347232,0.649178162606399,0.29820999345066,0.0084412879724231,0.290579639074147,0.310390372761961,0.931722368297039,0.0715794962729308,0.740558334385623,0.999122277445278,0.0682776317029609,0.000877722554721547,0.259441665614377,0.998888908623486,0.00329119672292246,0.989403569083766,0.999999987100566,0.00111109137651399,1.28994338510269e-08,0.0105964309162337,FALSE,FALSE,0.258563943059655,0.0105964180168,0.258563943059655,0.0105964180167998,0.39910945220381,0.672273144244546,2.83065227786196
"13","GAL2023_023",10.1056985704992,9.908990409228,10.3179124716024,0.167182490393425,0.647245462330209,0.00300544708828343,0.643586029293417,0.650921180218867,0.309730465895359,0.0303787344802446,0.287461773700306,0.352883112610019,0.86072879938108,0.0981524324869669,0.637052837372216,0.991931607965923,0.13927120061892,0.00806839203407691,0.362947162627784,0.668889998672606,0.470560045670692,1.87161186119209e-05,0.999998529800671,0.331110001327394,1.4701993294322e-06,0.999981283881388,FALSE,FALSE,0.354878770593707,0.999979813682059,0.354878770593707,0.999979813682059,1.65433877952256,0.464344250087631,9.80811958307904
"14","GAL2023_024",10.9797509075762,10.8865404535888,11.0383313839464,0.0683040202547694,0.674237730341293,0.0137193944099158,0.66272212306976,0.692880606238007,0.303931805189937,0.00156679824947973,0.302397765189726,0.306013594822259,0.306355435719851,0.249498483614777,0.000820541364057104,0.75549397947537,0.693644564280149,0.244506020524629,0.999179458635943,0.998474226134667,0.00249574259066203,0.991293350539405,0.999993277509789,0.00152577386533326,6.7224902114952e-06,0.00870664946059443,FALSE,FALSE,0.754673438111313,0.00869992697038302,0.754673438111314,0.00869992697038294,0.62209079996194,2.03480075239503,0.515509802766637
"15","GAL2023_025",10.8524248303292,10.793617378368,10.9054249069728,0.0454144126788301,0.662296786142824,0.00898545702030664,0.654166666666667,0.674587024180033,0.301044286689188,0.00231704157778017,0.297845003796064,0.303048439869125,0.543855830962402,0.315804947646105,0.0586741843052226,0.953833450551142,0.456144169037598,0.0461665494488581,0.941325815694777,0.998987677532802,0.00182098886738505,0.993958542385105,0.999997841693947,0.00101232246719792,2.1583060533014e-06,0.00604145761489499,FALSE,FALSE,0.895159266245919,0.00603929930884184,0.895159266245919,0.00603929930884168,0.418472492450819,1.35671155414137,0.769668012391942
"16","GAL2023_026",10.3714298941545,10.2375825437248,10.544556489584,0.129085769992525,0.663830829683,0.00758776828550298,0.653163935432394,0.670018878884694,0.28713278823054,0.00922191497649295,0.275578469281286,0.298049573344169,0.440523283795486,0.27198979793282,0.120030526455221,0.962643063179768,0.559476716204514,0.037356936820232,0.879969473544779,0.999758706836072,0.000552014337152523,0.998189361738186,0.999999985455618,0.000241293163928336,1.45443821505329e-08,0.00181063826181373,FALSE,FALSE,0.842612536724547,0.00181062371743146,0.842612536724547,0.00181062371743158,1.24462847755717,1.1430274018949,3.21172480277266
"17","GAL2023_030",10.4445866622784,10.2616302785792,10.555787258784,0.13451394983913,0.644777414893105,0.00586924728834765,0.635818319582421,0.648758865248227,0.295316004019529,0.00546879457724329,0.288947990543735,0.302534096649268,0.899523799079811,0.093517887346776,0.670486801738246,0.99832443572039,0.100476200920189,0.00167556427960984,0.329513198261754,0.998791917949847,0.00274051740437085,0.992156182353926,0.999999342586407,0.00120808205015312,6.57413593420163e-07,0.00784381764607432,FALSE,FALSE,0.327837633982144,0.00784316023248077,0.327837633982144,0.0078431602324809,1.28788198316108,0.910274949584066,1.85184497379344
"18","GAL2023_034",10.8486490122393,10.7263980498136,11.0363232383536,0.135516874731562,0.666303345622883,0.0149420954872369,0.652078404866509,0.686499440805241,0.29232648323072,0.00353088266009146,0.289695546780907,0.297274877876432,0.497077053985096,0.36540871051323,0.00433974057439321,0.972734743734821,0.502922946014904,0.0272652562651793,0.995660259425607,0.999919966527221,0.000160457749838918,0.999475030418857,0.999999933391552,8.00334727785732e-05,6.6608448043676e-08,0.000524969581142961,FALSE,FALSE,0.968395003160427,0.000524902972695029,0.968395003160428,0.000524902972694918,1.24915899278034,2.24253646411883,1.20785589491209
"19","GAL2023_036",10.4984505434151,9.767798027316,11.1415961648184,0.536449122774954,0.656868791600789,0.00702903369702934,0.647605652668944,0.668363607287072,0.308869175989669,0.00623680566658926,0.297475051905432,0.314822971725816,0.670895145746014,0.24279193932444,0.174759240366838,0.972131841465017,0.329104854253986,0.0278681585349833,0.825240759633163,0.958613515442102,0.0644422734944866,0.770247279868014,0.999909119776751,0.0413864845578977,9.08802232492288e-05,0.229752720131986,FALSE,FALSE,0.797372601098179,0.229661839908737,0.797372601098179,0.229661839908737,5.10979330289296,1.07008184692404,2.01923861343738
"20","GAL2023_041",9.03540628010635,8.7116847702844,9.3175741518712,0.249058223338835,0.658622561307155,0.00818268259889248,0.647419229918124,0.666744316403264,0.313986755449999,0.00413945713839109,0.308420004425758,0.318330220555738,0.495445193019336,0.232089657639056,0.172437168811321,0.942847920226793,0.504554806980664,0.0571520797732071,0.827562831188679,0.561055473118727,0.220739533639737,0.255140134105281,0.943390365315349,0.438944526881273,0.0566096346846511,0.744859865894719,FALSE,FALSE,0.770410751415472,0.688250231210068,0.770410751415472,0.688250231210068,2.75646955563247,1.24239330378426,1.31835406001712
